"","id_plot","ab","mass","q0","q1","q2","Body_length"
"1","ARG_1420",6.61111111111111,1.90237777777778,NA,NA,NA,NA
"2","ARG_1620",3.07142857142857,1.92581071428571,NA,NA,NA,NA
"3","ARG_1790",2.5,1.19412777777778,NA,NA,NA,NA
"4","ARG_2000",3.57142857142857,1.10766428571429,1.67857142857143,1.61427620615619,1.55714285714286,19.8729112554113
"5","ARG_2400",2,1.197,1,1,1,30.625
"6","ARM_1520",2.88461538461538,NA,NA,NA,NA,NA
"7","ARM_1750",7.07142857142857,NA,NA,NA,NA,NA
"8","BOU_1240",2.79245283018868,1.17463018867925,NA,NA,NA,NA
"9","BOU_1440",7.74074074074074,2.41742222222222,2.22222222222222,1.89875504244376,1.70123456790123,40.0115740740741
"10","BOU_1620",4,1.705,2,2,2,38.75
"11","BOU_1830",2.11764705882353,1.00568823529412,NA,NA,NA,NA
"12","BOU_2000",2,1.02472307692308,NA,NA,NA,NA
"13","CAU_1220",12.6744186046512,3.05224651162791,3.97674418604651,3.51714127685873,3.23492723492723,NA
"14","CAU_1400",13.3225806451613,2.60353548387097,3.03225806451613,2.27117410882692,1.90230414746544,38.6397849462366
"15","CAU_1630",3.69230769230769,2.67469230769231,NA,NA,NA,NA
"16","CAU_1800",4,1.65408333333333,NA,NA,NA,NA
"17","MOU_1810",9,1.6231,2,1.75476535060332,1.6,60.3119318181818
"18","MOU_1940",3.25,1.110025,1,1,1,NA
"19","MOU_2160",2.88888888888889,1.125,NA,NA,NA,NA
"20","MOU_2355",2.6,1.0204,NA,NA,NA,NA
"21","MSB_1370",2.22222222222222,NA,NA,NA,NA,NA
"22","MSB_1420",2,NA,NA,NA,NA,NA
"23","MSB_1890",2,NA,NA,NA,NA,NA
"24","MSB_2020",2,NA,NA,NA,NA,NA
"25","PEC_1152",2.93103448275862,NA,NA,NA,NA,NA
"26","PEC_1375",4.28,NA,NA,NA,NA,NA
"27","RIS_1900",2.35555555555556,1.15292222222222,NA,NA,NA,NA
"28","RIS_2195",6.625,1.167125,NA,NA,NA,NA
"29","RIS_2340",2,1.165,1,1,1,NA
"30","RIS_2570",2,1.07011111111111,1,1,1,45
"31","TAN_1420",5.4,NA,NA,NA,NA,NA
"32","TAN_1700",3.73684210526316,1.22588596491228,1.68421052631579,1.58941118908204,1.5170653907496,28.9298245614035
"33","TAN_1890",2.67307692307692,1.01793076923077,1.13461538461538,1.13461538461538,1.13461538461538,19.1105769230769
"34","TAN_2100",3.8,1.15321333333333,NA,NA,NA,NA
"35","TAN_2300",2.4,1.03524,NA,NA,NA,NA
"36","VAL_1860",5.76315789473684,NA,NA,NA,NA,NA
"37","VAL_2250",3.75,NA,NA,NA,NA,NA
"38","VCHA_1910",2.65217391304348,NA,NA,NA,NA,NA
"39","VCHA_2150",2.62790697674419,NA,NA,NA,NA,NA
"40","VCHA_2330",2,1.021,NA,NA,NA,NA
"41","VCHA_2510",2,1.00546,NA,NA,NA,NA
"42","VCHA_2760",2,1.0081,NA,NA,NA,NA
"43","VCHA_2940",2,1.001,NA,NA,NA,NA
"44","VER_1200",4.5,1.02883333333333,NA,NA,NA,NA
"45","VER_1400F",2,NA,NA,NA,NA,NA
"46","VER_1400P",20.6451612903226,NA,NA,NA,NA,NA
"47","VER_1800",6.57142857142857,1.24028571428571,NA,NA,NA,NA
"48","VER_2000",8.75,NA,NA,NA,NA,NA
"49","VTN_1130",2,1.386,NA,NA,NA,NA
"50","VTN_1340",2.22222222222222,NA,NA,NA,NA,NA
"51","VTN_1510",3.53846153846154,2.77407692307692,NA,NA,NA,NA
"52","VTN_1675",4.17241379310345,NA,NA,NA,NA,NA
"53","VTN_1860",4.94117647058824,NA,NA,NA,NA,NA
