"","id_sample","ab","mass","q0","q1","q2","HabitatAgricultural_area","HabitatArable_land","HabitatBuildings","HabitatCoastal","HabitatDeciduous","HabitatFew_no_vegetation","HabitatForest","HabitatForest_semi_natural_area","HabitatGardens","HabitatGrassland","HabitatParks","HabitatPasture_meadows","HabitatShrub_heatland","HabitatUrban_green_areas","HabitatArtificial_surface","HabitatPerenial","HabitatCaves","HabitatRunning_water_banks","HabitatInland","HabitatPeatbog","HabitatMineral_extraction_sites","HabitatSempervirent","HabitatCrop","HabitatOrchards","HabitatStanding_water_banks","HabitatFallow","HabitatDump","HabitatH","Body_length"
"20","ANI-21-0850"," 2","1.0910"," 1","1.000000","1.000000","0.000000000","0.166666667","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.16666667","0.000000000","0.00000000","0.00000000","0.333333333","0.000000000","0.000000000","0.16666667","0.16666667","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","2.2516292"," 45.00000"
"21","ANI-21-0883"," 2",NA," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 30.62500"
"22","ANI-21-0916"," 2","1.1330"," 1","1.000000","1.000000","0.000000000","0.166666667","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.16666667","0.000000000","0.00000000","0.00000000","0.333333333","0.000000000","0.000000000","0.16666667","0.16666667","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","2.2516292"," 45.00000"
"23","ANI-21-0960"," 3","1.3146"," 2","2.000000","2.000000","0.000000000","0.000000000","0.000000000","0.016129032","0.04838710","0.00000000","0.28152493","0.29765396","0.000000000","0.12316716","0.00000000","0.136363636","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.048387097","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.04838710","2.2092326"," 30.31250"
"24","ANI-22-0068"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ANI-22-0288"," 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ANI-21-0554"," 2","1.0427"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.000000000","0.20000000","0.00000000","0.00000000","0.20000000","0.000000000","0.40000000","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.20000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.9219281"," 12.50000"
"27","ANI-21-0565"," 2","1.0309"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 30.62500"
"28","ANI-21-0664"," 3","1.1531"," 2","2.000000","2.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 52.10350"
"29","ANI-21-0884"," 5","1.1962"," 4","4.000000","4.000000","0.017857143","0.007142857","0.007142857","0.018778802","0.07062212","0.01071429","0.27647675","0.27025555","0.017857143","0.14372643","0.01428571","0.078896104","0.010714286","0.007142857","0.00000000","0.00000000","0.00","0.000000000","0.024193548","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.02419355","2.3463133"," 25.85625"
"30","ANI-21-0961"," 3","1.2903"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 30.62500"
"31","ANI-22-0267"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ANI-22-0289"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ANI-21-0819"," 2","1.0031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ANI-21-0896"," 3","1.1576"," 2","2.000000","2.000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.27272727","0.27272727","0.000000000","0.18181818","0.00000000","0.272727273","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.9808259"," 30.00000"
"35","ANI-21-0907"," 2","1.0405"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.30000000","0.40000000","0.000000000","0.30000000","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.5709506"," 23.50000"
"36","ANI-21-0929"," 2","1.0048",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ANI-21-0951"," 3","1.0735",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ANI-22-0103"," 5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ANI-22-0301"," 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ANI-21-0545"," 2","1.0780",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ANI-21-0611"," 2","1.1208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ANI-21-0644"," 2","1.0049",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","ANI-21-0886"," 2","1.0274"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 30.62500"
"44","ANI-21-0897"," 3","1.1781"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.27272727","0.27272727","0.000000000","0.18181818","0.00000000","0.272727273","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.9808259"," 30.00000"
"45","ANI-21-0908"," 2","1.0104"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.33333333","0.22222222","0.000000000","0.22222222","0.00000000","0.000000000","0.222222222","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","1.9749375"," 18.00000"
"46","ANI-22-0060"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","ANI-22-0115"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","ANI-22-0291"," 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ANI-22-0302"," 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","ANI-21-0568"," 2","1.1661"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 30.62500"
"51","ANI-21-0612"," 2","1.0131",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ANI-21-0854"," 2","1.0440"," 1","1.000000","1.000000","0.000000000","0.166666667","0.000000000","0.000000000","0.00000000","0.00000000","0.00000000","0.16666667","0.000000000","0.00000000","0.00000000","0.333333333","0.000000000","0.000000000","0.16666667","0.16666667","0.00","0.000000000","0.000000000","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.00000000","2.2516292"," 45.00000"
"53","ANI-21-0887"," 2","1.0611"," 1","1.000000","1.000000","0.000000000","0.000000000","0.000000000","0.032258065","0.09677419","0.00000000","0.29032258","0.32258065","0.000000000","0.06451613","0.00000000","0.000000000","0.000000000","0.000000000","0.00000000","0.00000000","0.00","0.000000000","0.096774194","0.00000000","0.000000000","0.00000000","0.00000000","0.000000000","0.000000000","0.00000000","0.09677419","2.4376393"," 30.62500"
