"","id_plot","ab","mass","q0","q1","q2","Body_length"
"1","ARG_1420",6.61111111111111,1.90237777777778,NA,NA,NA,NA
"2","ARG_1620",3.08571428571429,NA,NA,NA,NA,NA
"3","ARG_1790",2.5,1.19412777777778,NA,NA,NA,NA
"4","ARG_2000",3.57142857142857,1.10766428571429,1.67857142857143,1.61427620615619,1.55714285714286,19.8729112554113
"5","ARG_2400",2,1.197,1,1,1,30.625
"6","ARM_1520",3.46153846153846,NA,NA,NA,NA,NA
"7","ARM_1750",7.07142857142857,NA,NA,NA,NA,NA
"8","BOU_1240",2.92307692307692,NA,NA,NA,NA,NA
"9","BOU_1440",4.73134328358209,NA,NA,NA,NA,NA
"10","BOU_1620",26.7872340425532,NA,NA,NA,NA,NA
"11","BOU_1830",2.11764705882353,1.00568823529412,NA,NA,NA,NA
"12","BOU_2000",2,1.02472307692308,NA,NA,NA,NA
"13","CAU_1220",12.5686274509804,NA,NA,NA,NA,NA
"14","CAU_1400",9.375,2.04049166666667,NA,NA,NA,NA
"15","CAU_1630",3.69230769230769,2.67469230769231,NA,NA,NA,NA
"16","CAU_1800",4,1.65408333333333,NA,NA,NA,NA
"17","MOU_1810",12.7865168539326,NA,NA,NA,NA,NA
"18","MOU_1940",3.33333333333333,NA,NA,NA,NA,NA
"19","MOU_2160",4.60344827586207,NA,NA,NA,NA,NA
"20","MOU_2355",2.6,1.0204,NA,NA,NA,NA
"21","MSB_1370",6.02325581395349,NA,NA,NA,NA,NA
"22","MSB_1420",8.48936170212766,NA,NA,NA,NA,NA
"23","MSB_1890",2.2,NA,NA,NA,NA,NA
"24","MSB_2020",2,NA,NA,NA,NA,NA
"25","PEC_1152",5,NA,NA,NA,NA,NA
"26","PEC_1375",4.28,NA,NA,NA,NA,NA
"27","RIS_1900",2.35555555555556,1.15292222222222,NA,NA,NA,NA
"28","RIS_2195",6.625,1.167125,NA,NA,NA,NA
"29","RIS_2340",2,1.165,1,1,1,NA
"30","RIS_2570",2,1.07011111111111,1,1,1,45
"31","TAN_1420",5.53,1.892779,NA,NA,NA,NA
"32","TAN_1700",3.73684210526316,1.22588596491228,1.68421052631579,1.58941118908204,1.5170653907496,28.9298245614035
"33","TAN_1890",2.67307692307692,1.01793076923077,1.13461538461538,1.13461538461538,1.13461538461538,19.1105769230769
"34","TAN_2100",3.8,1.15321333333333,NA,NA,NA,NA
"35","TAN_2300",2.4,1.03524,NA,NA,NA,NA
"36","VAL_1860",5.76315789473684,NA,NA,NA,NA,NA
"37","VAL_2250",3.75,NA,NA,NA,NA,NA
"38","VCHA_1910",3.18181818181818,NA,NA,NA,NA,NA
"39","VCHA_2150",3.19767441860465,NA,NA,NA,NA,NA
"40","VCHA_2330",2,1.021,NA,NA,NA,NA
"41","VCHA_2510",2,1.00546,NA,NA,NA,NA
"42","VCHA_2760",2,1.0081,NA,NA,NA,NA
"43","VCHA_2940",2,1.001,NA,NA,NA,NA
"44","VER_1200",3.57894736842105,NA,NA,NA,NA,NA
"45","VER_1400F",2,NA,NA,NA,NA,NA
"46","VER_1400P",10.0705882352941,NA,NA,NA,NA,NA
"47","VER_1800",5.25581395348837,NA,NA,NA,NA,NA
"48","VER_2000",4.025,NA,NA,NA,NA,NA
"49","VTN_1130",2.275,NA,NA,NA,NA,NA
"50","VTN_1340",2.22222222222222,NA,NA,NA,NA,NA
"51","VTN_1510",3.65853658536585,NA,NA,NA,NA,NA
"52","VTN_1675",4.83582089552239,NA,NA,NA,NA,NA
"53","VTN_1860",4,NA,NA,NA,NA,NA
