"","IDsin","codeplot","ADJ","TILE","X_sin","Y_sin","X_wgs","Ywgs","ID","alti","grad","NDVImin","NDVImax"
"1049",11291582,"VAUL_1100","YES","h18v04",459027,5014781,5.84816,45.09896,"h18v04_11291582",1100,"VAUL",0.416,0.852
"1050",11310784,"VAUL_1290","YES","h18v04",459490,5013854,5.85321,45.09062,"h18v04_11310784",1290,"VAUL",0.482,0.804
"1051",12203709,"VCHA_1910","YES","h18v04",488447,4970766,6.18029,44.70312,"h18v04_12203709",1910,"VCHA",0.012,0.705
"1052",12189310,"VCHA_2150","YES","h18v04",488679,4971461,6.18389,44.70937,"h18v04_12189310",2150,"VCHA",0,0.398
"1053",12179711,"VCHA_2330","YES","h18v04",488911,4971925,6.18726,44.71354,"h18v04_12179711",2330,"VCHA",0,0.243
"1054",12160512,"VCHA_2510","YES","h18v04",489142,4972851,6.19109,44.72187,"h18v04_12160512",2510,"VCHA",0,0.174
"1055",12146114,"VCHA_2760","YES","h18v04",489606,4973546,6.19762,44.72812,"h18v04_12146114",2760,"VCHA",0,0.22
"1056",12136513,"VCHA_2940","YES","h18v04",489374,4974009,6.19513,44.73229,"h18v04_12136513",2940,"VCHA",0,0.106
"1057",12122112,"VCHA_3160","YES","h18v04",489142,4974704,6.19287,44.73854,"h18v04_12122112",3160,"VCHA",0,0.091
"1058",16732999,"VER_1200","YES","h18v04",45984,4752083,0.56304,42.73646,"h18v04_16732999",1200,"VER",0.283,0.899
"1059",16742600,"VER_1400","YES","h18v04",46215,4751619,0.56584,42.73229,"h18v04_16742600",1400,"VER",0.247,0.89
"1060",16747400,"VER_1420","YES","h18v04",46215,4751388,0.56582,42.73021,"h18v04_16747400",1420,"VER",0.261,0.899
"1061",16766602,"VER_1650","YES","h18v04",46679,4750461,0.57141,42.72187,"h18v04_16766602",1650,"VER",0.035,0.84
"1062",16771405,"VER_1800","YES","h18v04",47374,4750229,0.5799,42.71979,"h18v04_16771405",1800,"VER",0.013,0.786
"1063",16785806,"VER_2000","YES","h18v04",47605,4749534,0.58268,42.71354,"h18v04_16785806",2000,"VER",0,0.783
"1065",13393804,"VTN_1130","YES","h18v04",417792,4913316,5.23974,44.18646,"h18v04_13393804",1130,"VTN",0.561,0.779
"1066",13408207,"VTN_1340","YES","h18v04",418487,4912621,5.2479,44.18021,"h18v04_13408207",1340,"VTN",0.524,0.855
"1068",13413009,"VTN_1675","YES","h18v04",418951,4912389,5.25353,44.17812,"h18v04_13413009",1675,"VTN",0.446,0.805
"1069",13413019,"VTN_1860","YES","h18v04",421267,4912389,5.28258,44.17812,"h18v04_13413019",1860,"VTN",0.215,0.619
"1070",13528207,"VTS_0660","YES","h18v04",418487,4906829,5.24327,44.12812,"h18v04_13528207",660,"VTS",0.682,0.766
"1071",13509012,"VTS_0840","YES","h18v04",419645,4907756,5.25853,44.13646,"h18v04_13509012",840,"VTS",0.646,0.741
"1072",13489815,"VTS_1040","YES","h18v04",420340,4908682,5.26798,44.14479,"h18v04_13489815",1040,"VTS",0.593,0.765
"1073",13475419,"VTS_1260","YES","h18v04",421267,4909377,5.28015,44.15104,"h18v04_13475419",1260,"VTS",0.47,0.748
