codeplot,sp_name,date,abundance
ANT_1750,Deschampsia.cespitosa,2020,129
ANT_1750,Epilobium.alpestre,2020,8
ANT_1750,Epilobium.montanum,2020,11
ANT_1750,Festuca.heteromalla,2020,4
ANT_1750,Festuca.rubra,2020,19
ANT_1750,Gentiana.purpurea,2020,5
ANT_1750,Geranium.sylvaticum,2020,21
ANT_1750,Heracleum.sphondylium,2020,38
ANT_1750,Homogyne.alpina,2020,8
ANT_1750,Hypericum.maculatum,2020,48
ANT_1750,Imperatoria.ostruthium,2020,78
ANT_1750,Lactuca.alpina,2020,28
ANT_1750,Phleum.rhaeticum,2020,22
ANT_1750,Poa.pratensis,2020,1
ANT_1750,Ranunculus.acris,2020,8
ANT_1750,Rhododendron.ferrugineum,2020,4
ANT_1750,Rubus.idaeus,2020,39
ANT_1750,Rumex.arifolius,2020,109
ANT_1750,Silene.vulgaris,2020,9
ANT_1750,Solidago.virgaurea,2020,5
ANT_1750,Thalictrum.aquilegiifolium,2020,14
ANT_1750,Trollius.europaeus,2020,6
ANT_1750,Vaccinium.myrtillus,2020,40
ANT_1750,Vaccinium.uliginosum,2020,9
ANT_1750,Valeriana.officinalis,2020,15
ANT_1750,Veratrum.album,2020,3
ANT_1750,Veronica.chamaedrys,2020,9
ANT_1750,Viola.biflora,2020,6
ANT_1750,Caltha.palustris,2020,3
ANT_1750,Crepis.pyrenaica,2020,1
ANT_1750,Hieracium.prenanthoides,2020,3
ANT_1750,Hypericum.hirsutum,2020,1
ANT_1750,Leontodon.hispidus,2020,1
ANT_1750,Mutellina.adonidifolia,2020,1
ANT_2040,Agrostis.rupestris,2016,3
ANT_2040,Alchemilla.pentaphyllea,2016,4
ANT_2040,Anthoxanthum.alpinum,2016,29
ANT_2040,Avenella.flexuosa,2016,12
ANT_2040,Calluna.vulgaris,2016,5
ANT_2040,Carex.sempervirens,2016,41
ANT_2040,Deschampsia.cespitosa,2016,3
ANT_2040,Euphrasia.minima,2016,4
ANT_2040,Festuca.heteromalla,2016,49
ANT_2040,Gentiana.purpurea,2016,11
ANT_2040,Homogyne.alpina,2016,16
ANT_2040,Kalmia.procumbens,2016,6
ANT_2040,Luzula.alpinopilosa,2016,17
ANT_2040,Mutellina.adonidifolia,2016,37
ANT_2040,Nardus.stricta,2016,217
ANT_2040,Phyteuma.hemisphaericum,2016,4
ANT_2040,Plantago.alpina,2016,16
ANT_2040,Poa.alpina,2016,30
ANT_2040,Potentilla.aurea,2016,49
ANT_2040,Scorzoneroides.pyrenaica,2016,101
ANT_2040,Vaccinium.myrtillus,2016,30
ANT_2040,Vaccinium.uliginosum,2016,111
ANT_2040,Agrostis.schraderiana,2016,1
ANT_2040,Trifolium.alpinum,2016,1
ANT_2040,Viola.calcarata,2016,1
ANT_2040,NA.NA,2020,4
ANT_2040,Alchemilla.pentaphyllea,2020,3
ANT_2040,Anthoxanthum.alpinum,2020,22
ANT_2040,Arnica.montana,2020,3
ANT_2040,Avenella.flexuosa,2020,42
ANT_2040,Calluna.vulgaris,2020,15
ANT_2040,Carex.sempervirens,2020,77
ANT_2040,Euphrasia.minima,2020,5
ANT_2040,Festuca.heteromalla,2020,22
ANT_2040,Gentiana.purpurea,2020,24
ANT_2040,Helictochloa.versicolor,2020,29
ANT_2040,Homogyne.alpina,2020,31
ANT_2040,Hypericum.maculatum,2020,1
ANT_2040,Kalmia.procumbens,2020,18
ANT_2040,Luzula.alpinopilosa,2020,13
ANT_2040,Mutellina.adonidifolia,2020,35
ANT_2040,Nardus.stricta,2020,252
ANT_2040,Phleum.rhaeticum,2020,6
ANT_2040,Phyteuma.hemisphaericum,2020,9
ANT_2040,Plantago.alpina,2020,38
ANT_2040,Poa.alpina,2020,3
ANT_2040,Potentilla.aurea,2020,65
ANT_2040,Scorzoneroides.pyrenaica,2020,117
ANT_2040,Trifolium.alpinum,2020,5
ANT_2040,Vaccinium.myrtillus,2020,49
ANT_2040,Vaccinium.uliginosum,2020,137
ANT_2040,Agrostis.rupestris,2020,2
ANT_2040,Anthoxanthum.odoratum,2020,1
ANT_2040,Campanula.scheuchzeri,2020,2
ANT_2040,Luzula.alpina,2020,2
ANT_2040,Luzula.multiflora,2020,2
ANT_2040,Selaginella.selaginoides,2020,2
ANT_2200,Agrostis.rupestris,2016,51
ANT_2200,Agrostis.schraderiana,2016,22
ANT_2200,Alchemilla.pentaphyllea,2016,12
ANT_2200,Anthoxanthum.alpinum,2016,64
ANT_2200,Avenella.flexuosa,2016,24
ANT_2200,Bistorta.vivipara,2016,9
ANT_2200,Campanula.scheuchzeri,2016,16
ANT_2200,Carex.ferruginea,2016,1
ANT_2200,Cirsium.spinosissimum,2016,5
ANT_2200,Crepis.aurea,2016,10
ANT_2200,Deschampsia.cespitosa,2016,13
ANT_2200,Euphrasia.minima,2016,3
ANT_2200,Festuca.heteromalla,2016,17
ANT_2200,Festuca.violacea,2016,13
ANT_2200,Gentiana.purpurea,2016,4
ANT_2200,Geum.montanum,2016,2
ANT_2200,Helictochloa.versicolor,2016,2
ANT_2200,Homogyne.alpina,2016,55
ANT_2200,Leontodon.hispidus,2016,19
ANT_2200,Luzula.alpinopilosa,2016,46
ANT_2200,Mutellina.adonidifolia,2016,66
ANT_2200,Myosotis.alpestris,2016,3
ANT_2200,Nardus.stricta,2016,48
ANT_2200,Phleum.rhaeticum,2016,2
ANT_2200,Phyteuma.hemisphaericum,2016,4
ANT_2200,Plantago.alpina,2016,29
