"","x"
"alpha.1",0.0551090700344432
"alpha.2",0.12656023222061
"alpha.3",0.12656023222061
"alpha.4",0.305325443786982
"gamma",1
"beta.1",0.0714511621861664
"beta.2",0
"beta.3",0.178765211566373
"beta.4",0.694674556213018
