"","id_sample","ab","mass","q0","q1","q2","HabitatPasture_meadows","HabitatShrub_heatland","HabitatAgricultural_area","HabitatForest","HabitatGrassland","HabitatH","Body_length"
"93","ANI-21-0568",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","ANI-21-0590",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ANI-21-0601",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","ANI-21-0656",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","ANI-21-0722",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","ANI-21-0755",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","ANI-21-0766",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","ANI-21-0788",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","ANI-21-0799",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","ANI-21-0909",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","ANI-21-0756",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
