"","id_sample","ab","mass","q0","q1","q2","HabitatPasture_meadows","HabitatShrub_heatland","HabitatAgricultural_area","HabitatForest","HabitatGrassland","HabitatH","Body_length"
"40","ANI-21-0830",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ANI-21-0841",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","ANI-21-0852",8,NA,2,1.88988157484231,1.8,0.5,0.5,0,0,0,1,19.3333333333333
"43","ANI-21-0962",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","ANI-22-0004",3,NA,2,2,2,0.5,0.5,0,0,0,1,30.375
"45","ANI-22-0015",5,NA,4,4,4,0,0,0,0.625,0.375,0.405639062229566,20.59375
"46","ANI-22-0059",3,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"47","ANI-22-0257",3,NA,1,1,1,0,0,0,1,0,0,9.5
"48","ANI-21-0831",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","ANI-21-0853",19,NA,2,1.97962633005252,1.96,0,0,0,0,1,0,17.9642857142857
"50","ANI-21-0864",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","ANI-21-0952",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","ANI-21-0963",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ANI-21-0974",7,NA,1,1,1,0,0,0,0,1,0,21.5
"54","ANI-22-0005",4,NA,3,3,3,0,0,0,0.25,0.75,0.811278124459133,23.6666666666667
"55","ANI-22-0016",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,18.875
"56","ANI-22-0060",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"57","ANI-22-0148",3,NA,1,1,1,0,0,0,0.25,0.75,0.811278124459133,23
"58","ANI-22-0181",20,NA,2,1.88988157484231,1.8,NA,NA,NA,NA,NA,NA,18
"59","ANI-22-0192",4,NA,2,1.88988157484231,1.8,0,0,0,0,1,0,19.1666666666667
"60","ANI-22-0225",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,17.5
"61","ANI-22-0236",4,NA,2,1.88988157484231,1.8,0,0,0,0,1,0,18
"62","ANI-22-0258",11,NA,1,1,1,0,0,0,1,0,0,9.5
"63","ANI-21-0843",21,NA,2,1.75476535060332,1.6,0.375,0.375,0,0.0625,0.1875,0.952819531114783,29.375
"64","ANI-21-0854",3,NA,1,1,1,NA,NA,NA,NA,NA,NA,13.25
"65","ANI-21-0953",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"66","ANI-21-0964",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","ANI-21-0975",7,NA,1,1,1,0,0,0,0,1,0,21.5
"68","ANI-22-0006",4,NA,1,1,1,0,0,0,1,0,0,9.5
"69","ANI-22-0017",4,NA,1,1,1,0,0,0,0.25,0.75,0.811278124459133,23
"70","ANI-22-0061",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"71","ANI-22-0149",2,NA,1,1,1,0,0,0,0,1,0,20.125
"72","ANI-22-0182",10,NA,4,3.57165236692845,3.24,0,0,0,0.5,0.5,0,17.5277777777778
"73","ANI-22-0248",4,NA,1,1,1,0,0,0,0,1,0,18
"74","ANI-22-0231",2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA
"75","ANI-21-0585",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","ANI-21-0596",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","ANI-21-0651",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","ANI-21-0717",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","ANI-21-0728",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","ANI-21-0761",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","ANI-21-0772",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","ANI-21-0783",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","ANI-21-0805",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","ANI-21-0981",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","ANI-21-0586",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","ANI-21-0597",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","ANI-21-0652",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","ANI-21-0718",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","ANI-21-0740",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","ANI-21-0751",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","ANI-21-0762",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","ANI-21-0773",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","ANI-21-0784",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","ANI-21-0806",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","ANI-21-0576",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","ANI-21-0598",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","ANI-21-0653",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","ANI-21-0719",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","ANI-21-0741",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","ANI-21-0763",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","ANI-21-0774",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","ANI-21-0785",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","ANI-21-0807",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","ANI-21-0862",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","ANI-21-0983",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","ANI-21-0577",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","ANI-21-0599",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","ANI-21-0654",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","ANI-21-0720",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","ANI-21-0753",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","ANI-21-0764",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","ANI-21-0775",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","ANI-21-0786",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","ANI-21-0797",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","ANI-21-0808",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","ANI-21-0589",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","ANI-21-0600",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","ANI-21-0754",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","ANI-21-0765",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","ANI-21-0776",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","ANI-21-0798",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","ANI-21-0842",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","ANI-21-0568",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","ANI-21-0590",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","ANI-21-0601",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","ANI-21-0656",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","ANI-21-0722",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","ANI-21-0744",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","ANI-21-0755",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","ANI-21-0766",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","ANI-21-0777",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","ANI-21-0788",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","ANI-21-0799",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","ANI-21-0909",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","ANI-21-0997",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","ANI-21-0756",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
