"","id_sample","ab","mass","q0","q1","q2","Body_length"
"133","ANI-21-0884",4,1.17,1,1,1,NA
"134","ANI-21-0906",2,1.03,1,1,1,NA
"135","ANI-21-0917",3,1.083,1,1,1,NA
"136","ANI-21-0961",3,1.011,2,2,2,6.35595238095238
"137","ANI-21-0972",2,1.045,1,1,1,9.67142857142857
"138","ANI-22-0146",33,NA,NA,NA,NA,NA
"139","ANI-22-0256",9,NA,2,1.45756926498109,1.28,16.42875
"140","ANI-21-0577",5,1.085,2,2,2,7.58333333333333
"141","ANI-21-0599",8,NA,1,1,1,NA
"142","ANI-21-0610",18,3.968,4,2.91834854359425,2.38842975206612,16.298025210084
"143","ANI-21-0621",5,1.805,2,2,2,18.1975
"144","ANI-21-0632",6,2.985,2,1.64938488846612,1.47058823529412,28.5095714285714
"145","ANI-21-0654",2,1.05,1,1,1,NA
"146","ANI-21-0665",2,1.338,1,1,1,18.5478571428571
"147","ANI-21-0687",2,1.159,1,1,1,15.75
"148","ANI-21-0720",6,1.114,3,2.58640928985893,2.27272727272727,7.79285714285714
"149","ANI-21-0742",3,1.057,1,1,1,NA
"150","ANI-21-0753",5,1.31,3,2.82842712474619,2.66666666666667,11.7238095238095
"151","ANI-21-0764",9,2.234,3,2.08677944009772,1.68421052631579,14.3214285714286
"152","ANI-21-0775",7,2.255,2,1.88988157484231,1.8,23.75
"153","ANI-21-0786",3,2.342,1,1,1,23.75
"154","ANI-21-0797",2,1.021,1,1,1,7.16666666666667
"155","ANI-21-0808",2,NA,NA,NA,NA,NA
"156","ANI-21-0841",5,2.85,1,1,1,23.75
"157","ANI-21-0885",3,NA,NA,NA,NA,NA
"158","ANI-21-0896",2,NA,1,1,1,NA
"159","ANI-21-0907",2,1.092,1,1,1,15.6666666666667
"160","ANI-21-0962",2,1.003,1,1,1,5.12857142857143
"161","ANI-21-0973",2,1.011,1,1,1,7.05555555555556
"162","ANI-22-0004",4,NA,1,1,1,23.75
"163","ANI-22-0015",2,NA,NA,NA,NA,NA
"164","ANI-22-0092",2,NA,NA,NA,NA,NA
"165","ANI-22-0147",10,NA,NA,NA,NA,NA
"166","ANI-21-0545",2,1.006,NA,NA,NA,NA
"167","ANI-21-0556",2,1.136,1,1,1,NA
"168","ANI-21-0567",8,1.435,1,1,1,NA
"169","ANI-21-0600",5,1.011,2,1.75476535060332,1.6,NA
"170","ANI-21-0611",9,3.081,4,3.36358566101486,2.90909090909091,23.4050892857143
"171","ANI-21-0622",4,1.562,2,1.88988157484231,1.8,14.612619047619
"172","ANI-21-0633",3,1.767,1,1,1,31
"173","ANI-21-0644",3,1.081,2,2,2,7.58333333333333
"174","ANI-21-0666",2,1.303,1,1,1,18.5478571428571
"175","ANI-21-0721",2,NA,NA,NA,NA,NA
"176","ANI-21-0743",5,NA,NA,NA,NA,NA
"177","ANI-21-0754",13,1.803,2,1.88988157484231,1.8,12.75
"178","ANI-21-0765",5,1.74,3,2.82842712474619,2.66666666666667,15.485
"179","ANI-21-0776",15,4.194,3,2.98432836314738,2.96969696969697,17.6388888888889
"180","ANI-21-0798",3,1.106,2,2,2,NA
"181","ANI-21-0809",10,1.472,1,1,1,NA
"182","ANI-21-0842",8,3.886,2,1.50699306577254,1.32432432432432,23.75
"183","ANI-21-0853",3,1.232,1,1,1,15
"184","ANI-21-0864",2,1.072,1,1,1,NA
