"","date","idplot","TairMean","TairMin","TairMax","Rainf","Snowf","Wind","Humrel","Nebulosity","LWdown","DIR_SWdown","SCA_SWdown","VPD","ETP"
"1","2021-01-01",159,271.347890218099,268.142425537109,273.805358886719,0,1.98474089847878,1.14926419158777,83.2512089411418,0.675609442715844,2206.01512023926,0,270.190040130615,0.0912739155146379,0.000501099691906112
"2","2021-01-02",159,268.382296244303,265.938720703125,270.649719238281,0,2.02465474867495,1.87121554960807,80.5706701278687,0.802103447417418,2006.41131958008,0,133.123127288818,0.0830924722676951,3.5093022191418e-05
"3","2021-01-03",159,267.296061197917,264.362762451172,271.454864501953,0,0,1.27836139748494,70.0754138628642,0.520516795416673,2027.38658203125,0,188.891312255859,0.119511315601715,0.000347795317762056
"4","2021-01-04",159,268.736003875732,266.321624755859,272.254180908203,0,1.471864960331,1.36505237221718,79.6158332824707,0.900826652844747,2147.56324584961,0,101.060551757813,0.091859590930766,2.71330361739967e-05
"5","2021-01-05",159,268.161471048991,265.175567626953,271.052734375,0,2.65685204212787,1.00975653529167,83.820855140686,0.74245539183418,2139.94442504883,0,130.331703872681,0.0684514131418508,0.000147480915783311
"6","2021-01-06",159,266.119920094808,262.803894042969,271.595123291016,0,0.144998660834972,0.56646557400624,70.1312630971273,0.329852284863591,1927.21982849121,0,212.833791046143,0.111317121095882,0.000860367335567123
"7","2021-01-07",159,266.749357859294,264.122436523438,271.249542236328,0,0,0.426685000459353,64.7201859156291,0.167758297175169,1631.82257446289,0,284.259921569824,0.139024191523593,0.000890069731963242
"8","2021-01-08",159,266.487768809001,263.339233398438,271.180236816406,0,0,1.46362595260143,54.6683890024821,0.347837843000889,1834.97494812012,0,321.16158094123,0.174644330805846,0.00388836279056901
"9","2021-01-09",159,267.963642120361,266.826934814453,268.945007324219,0,5.1061555045635,1.47197598218918,86.3473377227783,0.886447864274184,2193.26495910645,0,135.20631514661,0.0565532457572736,0.0014988692130537
"10","2021-01-10",159,268.787125905355,267.434936523438,270.847778320312,0,6.45392001606524,1.23094125837088,88.0598026911418,0.516010050817082,1963.89052185059,0,126.077110456824,0.0525163654992476,0.000620105740208413
"11","2021-01-11",159,265.727564493815,262.646728515625,269.89453125,0,0,1.06955653429031,52.5213251113892,0.0143246874213219,1628.68495605469,0,402.589179983139,0.172614356133343,0.00242608907788888
"12","2021-01-12",159,268.744321187337,265.463714599609,272.071838378906,0,0.988141281413846,1.13419819871585,60.8793377876282,0.190879772727688,1942.96335205078,0,213.217621035576,0.171422362219888,0.00097889291014872
"13","2021-01-13",159,271.79533513387,269.806396484375,275.383636474609,0.150893339014146,0.981754611711949,1.29290721317132,70.3968812624613,0.0551187064653883,2035.99541931152,0,394.492420520782,0.165976579550652,0.0069991329439569
"14","2021-01-14",159,271.780110677083,268.105773925781,274.853240966797,0.609502531006001,0.130069395254395,1.73187390466531,62.6939964294434,0.19696433438609,2146.97789978027,75.5441400146484,336.963173847198,0.201205420509954,0.00774692188633717
"15","2021-01-15",159,273.065851847331,270.677551269531,274.355712890625,0.136202665453311,1.15138516321167,2.98779132465521,82.8090333938599,0.341432784373562,2083.82762878418,69.8536395263672,234.621012325287,0.104052619178026,0.00571697752792387
"16","2021-01-16",159,272.75107828776,267.868316650391,277.219116210938,0,0,1.53232043484847,51.9473911921183,0.627981398254633,2269.13929870605,21.6603863525391,173.366914873123,0.304205304463508,0.00163131408184799
"17","2021-01-17",159,275.749524434408,272.134063720703,277.392364501953,8.93539135577157,0.0249860113399336,2.93624616165956,81.7881860733032,0.881587143987417,2615.40083496094,2.08338512420654,105.745574097633,0.131526914422861,0.00207464024910673
"18","2021-01-18",159,272.236560821533,269.389007568359,275.380737304688,0,0,0.733110715945562,47.5453209877014,0.000307627022266388,1867.04102966309,105.349578552246,403.424882926941,0.305756511391029,0.00684672543939731
"19","2021-01-19",159,276.358093261719,273.492828369141,279.882293701172,0,0,2.47060098250707,44.7211440404256,0.0374688425411781,2018.5455871582,107.676930541992,403.075369033813,0.438567304304784,0.00731940190385054
"20","2021-01-20",159,279.629475911458,278.171875,281.210357666016,0,0,5.7351224621137,47.3715621630351,0.622637254496415,2355.09329772949,43.7868745422363,173.408946762085,0.51702296874814,0.00167189108017721
"21","2021-01-21",159,278.486476898193,276.014801025391,282.257720947266,0,0,3.30506345132987,63.8947812716166,0.586515076768895,2472.53209716797,60.1227383422852,181.884468212128,0.330062374665147,0.00202050617521869
"22","2021-01-22",159,275.509972890218,272.416381835938,279.833038330078,15.9653132956009,1.55925583530916,4.70830590526263,82.2730579376221,0.924159330626329,2588.97092651367,7.93538034439087,126.079586849213,0.137028354224938,0.00318124338597596
"23","2021-01-23",159,275.125827789307,272.059265136719,278.446197509766,4.63926844240632,0.230308263417101,4.59826774398486,76.177864074707,0.971758440136909,2544.43438476563,0.972312333583832,107.092038602829,0.171716954810855,0.000164726864392779
"24","2021-01-24",159,275.044081370036,272.742279052734,276.946746826172,1.4378630236024,7.17516650474863,4.89050090312958,80.0273679097493,0.971628243724505,2460.28628540039,2.2884130525589,112.570862674713,0.141464366792117,0.000145010717353886
"25","2021-01-25",159,274.753671010335,272.966674804688,276.668090820312,3.82831601018552,0.846608606298105,2.92668566604455,83.9967568715413,0.776399995821218,2535.20310058594,16.5459158706665,163.957024412155,0.108987526364933,0.00607422454504447
"26","2021-01-26",159,274.800399780273,269.756500244141,279.289642333984,0,0,2.22209750115871,58.687260945638,0.372959924240907,2271.0266015625,56.2481117248535,289.934964981079,0.291304682943685,0.00481195826482069
