"","Date","idplot","TG1","TG4","DSN_T_ISBA"
"1","2021-01-01",159,273.35763550089,273.571861124952,0.248243683413662
"2","2021-01-02",159,273.327082724963,273.556342480164,0.250338487976756
"3","2021-01-03",159,273.302116989698,273.534537185064,0.246755772643322
"4","2021-01-04",159,273.27369814438,273.508812181146,0.276103747904525
"5","2021-01-05",159,273.242782907485,273.479011507229,0.273936635249722
"6","2021-01-06",159,273.270956096989,273.48652108343,0.270297628338918
"7","2021-01-07",159,273.223413783848,273.460917157778,0.269375265919053
"8","2021-01-08",159,273.258569223265,273.477637165033,0.266840382378962
"9","2021-01-09",159,273.236875822336,273.460696855872,0.342151339060135
"10","2021-01-10",159,273.505340111097,273.649518295335,0.354867149550381
"11","2021-01-11",159,273.551655018385,273.71634639132,0.354633483543672
"12","2021-01-12",159,273.545483696865,273.725393771217,0.356097181832012
"13","2021-01-13",159,273.504886181433,273.699893358393,0.347895067361422
"14","2021-01-14",159,273.460397539574,273.663058755136,0.338371734163897
"15","2021-01-15",159,273.40995109146,273.619558312625,0.328969706923017
"16","2021-01-16",159,273.367962363694,273.580108924115,0.317170577247651
"17","2021-01-17",159,273.318368707359,273.534457383097,0.275039558377775
"18","2021-01-18",159,273.274713228931,273.49278950425,0.261680247380277
"19","2021-01-19",159,273.236415419525,273.454941107935,0.247601895402163
"20","2021-01-20",159,273.381646210777,273.555926799587,0.220604376350331
"21","2021-01-21",159,273.353280803731,273.54561029469,0.181266153336692
"22","2021-01-22",159,273.318361487805,273.516570925853,0.171233417745675
"23","2021-01-23",159,273.281043685472,273.48363696389,0.187930673089015
"24","2021-01-24",159,273.247900648387,273.453080493562,0.186779110347051
"25","2021-01-25",159,273.309973879277,273.45944629607,0.170168094204983
"26","2021-01-26",159,273.325384905359,273.506030193725,0.129947887022842
"27","2021-01-27",159,273.301433425149,273.488517573354,0.0583112755600656
"28","2021-01-28",159,273.214170887223,273.440553237353,0.0276655266757077
"29","2021-01-29",159,274.088274351541,273.947644953689,0
"30","2021-01-30",159,273.27287570519,273.558598260843,0.0118601082316036
"31","2021-01-31",159,275.268004278176,275.083141825713,0
"32","2021-02-01",159,273.509922783789,274.894068385134,0
"33","2021-02-02",159,273.361917074362,274.233527566773,0
"34","2021-02-03",159,274.986984172518,275.349122458617,0
"35","2021-02-04",159,272.489114361049,273.62426236643,0
"36","2021-02-05",159,272.47482895447,273.566614897722,0
"37","2021-02-06",159,272.379638261137,273.539363567984,0
"38","2021-02-07",159,274.028970595571,274.284101834986,0
"39","2021-02-08",159,272.202614858542,273.160221415755,0.00289234588964982
"40","2021-02-09",159,273.14656483854,273.436150977123,0.000533527922856803
"41","2021-02-10",159,271.707409818007,272.839251883804,0
"42","2021-02-11",159,273.03557807707,273.38449078558,0
"43","2021-02-12",159,272.283541558513,273.711654227006,0
"44","2021-02-13",159,271.810388734343,272.926821370131,0
"45","2021-02-14",159,272.023880969263,273.007795767364,0
"46","2021-02-15",159,274.030532557062,274.500311931521,0
"47","2021-02-16",159,273.660811438726,275.619699114709,0
"48","2021-02-17",159,275.957218288846,276.293112493908,0
"49","2021-02-18",159,273.643355196081,275.335321902798,0
"50","2021-02-19",159,276.669652258546,277.287862509502,0
"51","2021-02-20",159,277.753915942205,278.171386586431,0
"52","2021-02-21",159,277.29612089314,277.979986185613,0
"53","2021-02-22",159,274.99550679337,276.010300576518,0
"54","2021-02-23",159,275.057701396534,276.453726167286,0
"55","2021-02-24",159,273.705056328806,275.844043502136,0
"56","2021-02-25",159,272.916832033746,275.226427661539,0
"57","2021-02-26",159,272.419794250134,274.297103376558,0
"58","2021-02-27",159,272.609638981095,274.203165156182,0
"59","2021-02-28",159,272.323688052931,273.704688906518,0
"60","2021-03-01",159,275.009424292109,275.54956873721,0
"61","2021-03-02",159,274.893676573114,275.771949964371,0
"62","2021-03-03",159,275.347963245867,276.546068634523,0
"63","2021-03-04",159,277.794309270626,278.444798913536,0
"64","2021-03-05",159,276.831986929277,277.697580148959,0
"65","2021-03-06",159,272.706424109192,274.595310941918,0
"66","2021-03-07",159,275.913050070707,276.4257855221,0
"67","2021-03-08",159,274.121147960422,274.91733661539,0
"68","2021-03-09",159,271.612611637171,273.341245279614,0
"69","2021-03-10",159,276.937559375075,276.977535417545,0
"70","2021-03-11",159,276.453429984484,277.954492610266,0
"71","2021-03-12",159,271.771886085164,273.877674304002,0
"72","2021-03-13",159,275.437839523314,276.525152403557,0
"73","2021-03-14",159,272.662847870081,274.154432800479,0
"74","2021-03-15",159,273.645634549233,275.086694358101,0
"75","2021-03-16",159,275.23088017389,276.495790767871,0
"76","2021-03-17",159,273.297351292543,275.126381361724,0
"77","2021-03-18",159,273.427785692804,274.560326043319,0.0131077897830154
"78","2021-03-19",159,273.464987677584,274.103984846896,0.0610012594268555
"79","2021-03-20",159,273.020259532702,273.62544556454,0.0478522494326924
"80","2021-03-21",159,272.826213315577,273.499201478502,0.0341604950163644
"81","2021-03-22",159,271.550823408792,272.823254797903,0.00433099677723236
"82","2021-03-23",159,272.008521454836,273.670084672954,0
"83","2021-03-24",159,272.845684707101,275.095049922834,0
"84","2021-03-25",159,274.670034823389,276.262248403554,0
"85","2021-03-26",159,276.617169871269,277.470892781229,0
"86","2021-03-27",159,272.508850553755,274.673055178273,0
"87","2021-03-28",159,275.117937043465,277.273750614316,0
"88","2021-03-29",159,277.707399116475,279.24697339492,0
"89","2021-03-30",159,277.353375158786,279.18775362224,0
"90","2021-03-31",159,277.869974317244,279.957734626805,0
