"site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"Argentière",2,31,"ARG_1420","b",124308,"Sorbus aucuparia","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","b",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",86101,"Blechnum spicant","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",92606,"Corylus avellana","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"Argentière",2,31,"ARG_1420","c",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"Argentière",2,32,"ARG_1620","a",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",90359,"Chaerophyllum villarsii","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",105042,"Larix decidua","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"Argentière",2,32,"ARG_1620","a",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
