"","x"
"alpha.1",0.0416621694549379
"alpha.2",0.081947261663286
"alpha.3",0.081947261663286
"alpha.4",0.25158371040724
"gamma",1
"beta.1",0.0402850922083481
"beta.2",0
"beta.3",0.169636448743954
"beta.4",0.74841628959276
