"","codeplot","Tmean","Pmean","Rveg","Diam_mean","PRCTMOmean","pHmean","Cmean","Nmean","PHOSmean","NAGmean","LAPmean","AGmean","CBmean","BGmean","XYLmean","Milieu","X_L93","Y_L93"
"1","RIS_1900",277.901532642928,1.04064224501108,76,31.5730769230769,10.3153654915044,5.94833333333333,6.10584898789723,0.295385318497817,4404.40833333333,1157.635,163.801666666667,63.1216666666667,284.39,1493.72666666667,248.858333333333,1,1016410.9285,6413181.4883
"2","RIS_2195",276.317647267191,0.884110368128286,133,6.63,7.74464763041119,5.88333333333333,6.41475363572438,0.512754167119661,2540.42833333333,340.483333333333,328.633333333333,58.04,414.51,2196.35,397.33,0,1019971.60913,6408717.86776
"3","RIS_2340",275.211223915976,0.807454026482343,87,NA,10.6076661606527,5.81428571428571,6.8876781463623,0.557867561777432,5007.95666666667,913.808333333333,382.11,46.08,393.45,1672.78166666667,385.396666666667,0,1020061.74486,6409257.57003
"4","RIS_2570",274.072107841033,0.678358865640665,46,NA,5.1851967238394,5.34428571428571,3.33454277118047,0.272268655399481,2034.1,250.28,108.895,28.7133333333333,334.568333333333,1346.41,375.516666666667,0,1020901.70079,6409349.71461
"5","RIS_2770",273.073400453362,0.611185520594255,73,NA,12.9731765944634,5.46428571428571,6.69608461856841,0.516756996512413,4968.74833333333,465.958333333333,220.94,27.7166666666667,360.508333333333,1833.17666666667,419.336666666667,0,1021456.71868,6409727.60242
"6","RIS_2890",272.536184184738,0.439880127229562,41,NA,3.3071173946803,5.84,2.18607874711354,0.185215141624212,1265.28833333333,204.66,78.9816666666667,8.40333333333333,169.491666666667,967.665,230.015,0,1021715.15244,6409869.92656
"7","VCHA_2150",276.70593592727,1.18435193996234,73,NA,17.5802544132228,5.18571428571429,10.6313773790995,0.86570287744204,2593.81269366667,152.478363513333,246.998171766667,1.67595804,198.9587475,914.770242666667,354.687468216667,0,951878.740076,6405882.65257
"8","VCHA_2330",275.331642634051,0.968679334850507,49,NA,12.9724808013819,5.08333333333333,8.46062533060709,0.614864945411681,2191.14985883333,43.9359379833333,124.804358588333,0.240676426833333,190.233574795,789.10988785,301.920031966667,0,952017.702977,6406424.12502
"9","VCHA_2510",274.209257653747,0.968679334850507,43,NA,10.108428150362,5.55,2.5197603503863,0.21394931524992,618.459602266667,48.1380775916667,75.6770413583333,1.63873394283333,62.085157122,384.100824583333,67.69053667,0,952290.060521,6407310.95793
"10","VCHA_2760",273.459727316664,0.805614055388735,56,NA,20.8527062022692,4.52,12.0662943522135,0.859653711318969,5474.70962833333,298.693935916667,306.167036833333,13.3326919125,466.721376616667,2119.818113,818.25627675,0,952878.984655,6408212.97378
"11","VCHA_2940",272.441247408674,0.674293300171192,33,NA,13.1314180866157,4.78833333333333,8.62299410502113,0.598127206166585,3506.252556,278.336666666667,182.23910258,8.73179429216667,259.541922605,1403.33127368333,445.812181316667,0,952592.111432,6408612.67992
