"","site","idsite","idplot","codeplot","idtiers","cd_nom","lb_nom","observateur_1","observateur_2","date"
"50","Argentière",2,31,"ARG_1420","a",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"51","Argentière",2,31,"ARG_1420","a",113432,"Picea abies","Garraud","Pache","2020-07-23"
"52","Argentière",2,31,"ARG_1420","a",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"53","Argentière",2,31,"ARG_1420","a",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"54","Argentière",2,31,"ARG_1420","b",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"55","Argentière",2,31,"ARG_1420","b",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"56","Argentière",2,31,"ARG_1420","b",193276,"Hieracium","Garraud","Pache","2020-07-23"
"57","Argentière",2,31,"ARG_1420","b",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
"58","Argentière",2,31,"ARG_1420","b",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"59","Argentière",2,31,"ARG_1420","b",113432,"Picea abies","Garraud","Pache","2020-07-23"
"60","Argentière",2,31,"ARG_1420","b",124308,"Sorbus aucuparia","Garraud","Pache","2020-07-23"
"61","Argentière",2,31,"ARG_1420","b",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"62","Argentière",2,31,"ARG_1420","b",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"63","Argentière",2,31,"ARG_1420","c",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"64","Argentière",2,31,"ARG_1420","c",86101,"Blechnum spicant","Garraud","Pache","2020-07-23"
"65","Argentière",2,31,"ARG_1420","c",92606,"Corylus avellana","Garraud","Pache","2020-07-23"
"66","Argentière",2,31,"ARG_1420","c",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"67","Argentière",2,31,"ARG_1420","c",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"68","Argentière",2,31,"ARG_1420","c",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"69","Argentière",2,32,"ARG_1620","a",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"70","Argentière",2,32,"ARG_1620","a",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"71","Argentière",2,32,"ARG_1620","a",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"72","Argentière",2,32,"ARG_1620","a",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"73","Argentière",2,32,"ARG_1620","a",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"74","Argentière",2,32,"ARG_1620","a",90359,"Chaerophyllum villarsii","Garraud","Van Es","2017-07-01"
"75","Argentière",2,32,"ARG_1620","a",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"76","Argentière",2,32,"ARG_1620","a",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"77","Argentière",2,32,"ARG_1620","a",105042,"Larix decidua","Garraud","Van Es","2017-07-01"
"78","Argentière",2,32,"ARG_1620","a",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"79","Argentière",2,32,"ARG_1620","a",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"80","Argentière",2,32,"ARG_1620","a",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"81","Argentière",2,32,"ARG_1620","a",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"82","Argentière",2,32,"ARG_1620","a",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"83","Argentière",2,32,"ARG_1620","a",117679,"Rhododendron ferrugineum","Garraud","Van Es","2017-07-01"
"84","Argentière",2,32,"ARG_1620","a",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"85","Argentière",2,32,"ARG_1620","a",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"86","Argentière",2,32,"ARG_1620","a",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"87","Argentière",2,32,"ARG_1620","b",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"88","Argentière",2,32,"ARG_1620","b",79783,"Acer pseudoplatanus","Garraud","Van Es","2017-07-01"
"89","Argentière",2,32,"ARG_1620","b",80988,"Ajuga pyramidalis","Garraud","Van Es","2017-07-01"
"90","Argentière",2,32,"ARG_1620","b",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"91","Argentière",2,32,"ARG_1620","b",86101,"Blechnum spicant","Garraud","Van Es","2017-07-01"
"92","Argentière",2,32,"ARG_1620","b",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"93","Argentière",2,32,"ARG_1620","b",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"94","Argentière",2,32,"ARG_1620","b",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"95","Argentière",2,32,"ARG_1620","b",102925,"Homogyne alpina","Garraud","Van Es","2017-07-01"
"96","Argentière",2,32,"ARG_1620","b",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"97","Argentière",2,32,"ARG_1620","b",106838,"Luzula lutea","Garraud","Van Es","2017-07-01"
"98","Argentière",2,32,"ARG_1620","b",106839,"Luzula luzulina","Garraud","Van Es","2017-07-01"
"99","Argentière",2,32,"ARG_1620","b",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"100","Argentière",2,32,"ARG_1620","b",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"101","Argentière",2,32,"ARG_1620","b",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"102","Argentière",2,32,"ARG_1620","b",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"103","Argentière",2,32,"ARG_1620","b",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"104","Argentière",2,32,"ARG_1620","b",115813,"Prenanthes purpurea","Garraud","Van Es","2017-07-01"
"105","Argentière",2,32,"ARG_1620","b",117679,"Rhododendron ferrugineum","Garraud","Van Es","2017-07-01"
"106","Argentière",2,32,"ARG_1620","b",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"107","Argentière",2,32,"ARG_1620","b",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"108","Argentière",2,32,"ARG_1620","b",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"109","Argentière",2,32,"ARG_1620","b",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"110","Argentière",2,32,"ARG_1620","b",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"111","Argentière",2,32,"ARG_1620","c",80591,"Agrostis capillaris","Garraud","Van Es","2017-07-01"
"112","Argentière",2,32,"ARG_1620","c",80988,"Ajuga pyramidalis","Garraud","Van Es","2017-07-01"
"113","Argentière",2,32,"ARG_1620","c",82914,"Anthoxanthum alpinum","Garraud","Van Es","2017-07-01"
"114","Argentière",2,32,"ARG_1620","c",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"115","Argentière",2,32,"ARG_1620","c",86101,"Blechnum spicant","Garraud","Van Es","2017-07-01"
"116","Argentière",2,32,"ARG_1620","c",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"117","Argentière",2,32,"ARG_1620","c",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"118","Argentière",2,32,"ARG_1620","c",87607,"Campanula barbata","Garraud","Van Es","2017-07-01"
"119","Argentière",2,32,"ARG_1620","c",98512,"Festuca rubra","Garraud","Van Es","2017-07-01"
"120","Argentière",2,32,"ARG_1620","c",101953,"Hieracium exilentum","Garraud","Van Es","2017-07-01"
"121","Argentière",2,32,"ARG_1620","c",102106,"Hieracium lachenalii","Garraud","Van Es","2017-07-01"
"122","Argentière",2,32,"ARG_1620","c",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"123","Argentière",2,32,"ARG_1620","c",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"124","Argentière",2,32,"ARG_1620","c",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"125","Argentière",2,32,"ARG_1620","c",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"126","Argentière",2,32,"ARG_1620","c",109366,"Nardus stricta","Garraud","Van Es","2017-07-01"
"127","Argentière",2,32,"ARG_1620","c",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"128","Argentière",2,32,"ARG_1620","c",718390,"Pilosella peleteriana subsp. peleteriana","Garraud","Van Es","2017-07-01"
"129","Argentière",2,32,"ARG_1620","c",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"130","Argentière",2,32,"ARG_1620","c",117679,"Rhododendron ferrugineum","Garraud","Van Es","2017-07-01"
"131","Argentière",2,32,"ARG_1620","c",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"132","Argentière",2,32,"ARG_1620","c",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"133","Argentière",2,32,"ARG_1620","c",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"134","Argentière",2,32,"ARG_1620","c",128938,"Veronica officinalis","Garraud","Van Es","2017-07-01"
"135","Argentière",2,32,"ARG_1620","a",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"136","Argentière",2,32,"ARG_1620","a",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"137","Argentière",2,32,"ARG_1620","a",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"138","Argentière",2,32,"ARG_1620","a",104528,"Knautia dipsacifolia","Garraud","Pache","2020-07-23"
"139","Argentière",2,32,"ARG_1620","a",106846,"Luzula nivea","Garraud","Pache","2020-07-23"
"140","Argentière",2,32,"ARG_1620","a",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"141","Argentière",2,32,"ARG_1620","a",114589,"Polygala serpyllifolia","Garraud","Pache","2020-07-23"
"142","Argentière",2,32,"ARG_1620","a",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"143","Argentière",2,32,"ARG_1620","a",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"144","Argentière",2,32,"ARG_1620","a",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"145","Argentière",2,32,"ARG_1620","b",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"146","Argentière",2,32,"ARG_1620","b",86101,"Blechnum spicant","Garraud","Pache","2020-07-23"
"147","Argentière",2,32,"ARG_1620","b",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"148","Argentière",2,32,"ARG_1620","b",87501,"Calluna vulgaris","Garraud","Pache","2020-07-23"
"149","Argentière",2,32,"ARG_1620","b",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"150","Argentière",2,32,"ARG_1620","b",87720,"Campanula rotundifolia","Garraud","Pache","2020-07-23"
"151","Argentière",2,32,"ARG_1620","b",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
"152","Argentière",2,32,"ARG_1620","b",106839,"Luzula luzulina","Garraud","Pache","2020-07-23"
"153","Argentière",2,32,"ARG_1620","b",106846,"Luzula nivea","Garraud","Pache","2020-07-23"
"154","Argentière",2,32,"ARG_1620","b",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"155","Argentière",2,32,"ARG_1620","b",113407,"Phyteuma spicatum","Garraud","Pache","2020-07-23"
"156","Argentière",2,32,"ARG_1620","b",113432,"Picea abies","Garraud","Pache","2020-07-23"
"157","Argentière",2,32,"ARG_1620","b",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"158","Argentière",2,32,"ARG_1620","b",115813,"Prenanthes purpurea","Garraud","Pache","2020-07-23"
"159","Argentière",2,32,"ARG_1620","b",124205,"Solidago virgaurea","Garraud","Pache","2020-07-23"
"160","Argentière",2,32,"ARG_1620","b",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"161","Argentière",2,32,"ARG_1620","b",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"162","Argentière",2,32,"ARG_1620","c",80591,"Agrostis capillaris","Garraud","Pache","2020-07-23"
"163","Argentière",2,32,"ARG_1620","c",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"164","Argentière",2,32,"ARG_1620","c",86101,"Blechnum spicant","Garraud","Pache","2020-07-23"
"165","Argentière",2,32,"ARG_1620","c",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"166","Argentière",2,32,"ARG_1620","c",87607,"Campanula barbata","Garraud","Pache","2020-07-23"
"167","Argentière",2,32,"ARG_1620","c",193276,"Hieracium","Garraud","Pache","2020-07-23"
"168","Argentière",2,32,"ARG_1620","c",102235,"Hieracium murorum","Garraud","Pache","2020-07-23"
"169","Argentière",2,32,"ARG_1620","c",136974,"Juniperus communis subsp. nana","Garraud","Pache","2020-07-23"
"170","Argentière",2,32,"ARG_1620","c",104528,"Knautia dipsacifolia","Garraud","Pache","2020-07-23"
"171","Argentière",2,32,"ARG_1620","c",106839,"Luzula luzulina","Garraud","Pache","2020-07-23"
"172","Argentière",2,32,"ARG_1620","c",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"173","Argentière",2,32,"ARG_1620","c",113407,"Phyteuma spicatum","Garraud","Pache","2020-07-23"
"174","Argentière",2,32,"ARG_1620","c",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"175","Argentière",2,32,"ARG_1620","c",117679,"Rhododendron ferrugineum","Garraud","Pache","2020-07-23"
"176","Argentière",2,32,"ARG_1620","c",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"177","Argentière",2,32,"ARG_1620","c",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"178","Argentière",2,32,"ARG_1620","c",128938,"Veronica officinalis","Garraud","Pache","2020-07-23"
"179","Argentière",2,33,"ARG_1790","a",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"180","Argentière",2,33,"ARG_1790","a",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"181","Argentière",2,33,"ARG_1790","a",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"182","Argentière",2,33,"ARG_1790","a",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"183","Argentière",2,33,"ARG_1790","a",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"184","Argentière",2,33,"ARG_1790","a",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"185","Argentière",2,33,"ARG_1790","a",107158,"Maianthemum bifolium","Garraud","Van Es","2017-07-01"
"186","Argentière",2,33,"ARG_1790","a",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"187","Argentière",2,33,"ARG_1790","a",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"188","Argentière",2,33,"ARG_1790","a",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"189","Argentière",2,33,"ARG_1790","a",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"190","Argentière",2,33,"ARG_1790","a",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"191","Argentière",2,33,"ARG_1790","b",131388,"Anemone alpina subsp. millefoliata","Garraud","Van Es","2017-07-01"
"192","Argentière",2,33,"ARG_1790","b",83874,"Arnica montana","Garraud","Van Es","2017-07-01"
"193","Argentière",2,33,"ARG_1790","b",717731,"Atocion rupestre","Garraud","Van Es","2017-07-01"
"194","Argentière",2,33,"ARG_1790","b",85418,"Avenella flexuosa","Garraud","Van Es","2017-07-01"
"195","Argentière",2,33,"ARG_1790","b",87299,"Calamagrostis villosa","Garraud","Van Es","2017-07-01"
"196","Argentière",2,33,"ARG_1790","b",87501,"Calluna vulgaris","Garraud","Van Es","2017-07-01"
"197","Argentière",2,33,"ARG_1790","b",99929,"Gentiana purpurea","Garraud","Van Es","2017-07-01"
"198","Argentière",2,33,"ARG_1790","b",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"199","Argentière",2,33,"ARG_1790","b",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"200","Argentière",2,33,"ARG_1790","b",105074,"Laserpitium halleri","Garraud","Van Es","2017-07-01"
"201","Argentière",2,33,"ARG_1790","b",106846,"Luzula nivea","Garraud","Van Es","2017-07-01"
"202","Argentière",2,33,"ARG_1790","b",107158,"Maianthemum bifolium","Garraud","Van Es","2017-07-01"
"203","Argentière",2,33,"ARG_1790","b",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"204","Argentière",2,33,"ARG_1790","b",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"205","Argentière",2,33,"ARG_1790","b",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"206","Argentière",2,33,"ARG_1790","b",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"207","Argentière",2,33,"ARG_1790","b",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"208","Argentière",2,33,"ARG_1790","b",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"209","Argentière",2,33,"ARG_1790","b",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"210","Argentière",2,33,"ARG_1790","c",999999,"aaa - En attente de détermination","Garraud","Van Es","2017-07-01"
"211","Argentière",2,33,"ARG_1790","c",80591,"Agrostis capillaris","Garraud","Van Es","2017-07-01"
"212","Argentière",2,33,"ARG_1790","c",131388,"Anemone alpina subsp. millefoliata","Garraud","Van Es","2017-07-01"
"213","Argentière",2,33,"ARG_1790","c",82914,"Anthoxanthum alpinum","Garraud","Van Es","2017-07-01"
"214","Argentière",2,33,"ARG_1790","c",87724,"Campanula scheuchzeri","Garraud","Van Es","2017-07-01"
"215","Argentière",2,33,"ARG_1790","c",98512,"Festuca rubra","Garraud","Van Es","2017-07-01"
"216","Argentière",2,33,"ARG_1790","c",99334,"Galeopsis tetrahit","Garraud","Van Es","2017-07-01"
"217","Argentière",2,33,"ARG_1790","c",100160,"Geranium sylvaticum","Garraud","Van Es","2017-07-01"
"218","Argentière",2,33,"ARG_1790","c",102235,"Hieracium murorum","Garraud","Van Es","2017-07-01"
"219","Argentière",2,33,"ARG_1790","c",136974,"Juniperus communis subsp. nana","Garraud","Van Es","2017-07-01"
"220","Argentière",2,33,"ARG_1790","c",104528,"Knautia dipsacifolia","Garraud","Van Es","2017-07-01"
"221","Argentière",2,33,"ARG_1790","c",105074,"Laserpitium halleri","Garraud","Van Es","2017-07-01"
"222","Argentière",2,33,"ARG_1790","c",105768,"Leucanthemum adustum","Garraud","Van Es","2017-07-01"
"223","Argentière",2,33,"ARG_1790","c",107158,"Maianthemum bifolium","Garraud","Van Es","2017-07-01"
"224","Argentière",2,33,"ARG_1790","c",107800,"Melampyrum sylvaticum","Garraud","Van Es","2017-07-01"
"225","Argentière",2,33,"ARG_1790","c",113361,"Phyteuma betonicifolium","Garraud","Van Es","2017-07-01"
"226","Argentière",2,33,"ARG_1790","c",113432,"Picea abies","Garraud","Van Es","2017-07-01"
"227","Argentière",2,33,"ARG_1790","c",114616,"Polygonatum verticillatum","Garraud","Van Es","2017-07-01"
"228","Argentière",2,33,"ARG_1790","c",115470,"Potentilla erecta","Garraud","Van Es","2017-07-01"
"229","Argentière",2,33,"ARG_1790","c",117222,"Ranunculus sartorianus","Garraud","Van Es","2017-07-01"
"230","Argentière",2,33,"ARG_1790","c",124205,"Solidago virgaurea","Garraud","Van Es","2017-07-01"
"231","Argentière",2,33,"ARG_1790","c",141317,"Sorbus aucuparia subsp. aucuparia","Garraud","Van Es","2017-07-01"
"232","Argentière",2,33,"ARG_1790","c",124329,"Sorbus mougeotii","Garraud","Van Es","2017-07-01"
"233","Argentière",2,33,"ARG_1790","c",128345,"Vaccinium myrtillus","Garraud","Van Es","2017-07-01"
"234","Argentière",2,33,"ARG_1790","c",128355,"Vaccinium vitis-idaea","Garraud","Van Es","2017-07-01"
"235","Argentière",2,33,"ARG_1790","a",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"236","Argentière",2,33,"ARG_1790","a",87501,"Calluna vulgaris","Garraud","Pache","2020-07-23"
"237","Argentière",2,33,"ARG_1790","a",107158,"Maianthemum bifolium","Garraud","Pache","2020-07-23"
"238","Argentière",2,33,"ARG_1790","a",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"239","Argentière",2,33,"ARG_1790","a",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"240","Argentière",2,33,"ARG_1790","a",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
"241","Argentière",2,33,"ARG_1790","b",85418,"Avenella flexuosa","Garraud","Pache","2020-07-23"
"242","Argentière",2,33,"ARG_1790","b",87299,"Calamagrostis villosa","Garraud","Pache","2020-07-23"
"243","Argentière",2,33,"ARG_1790","b",87501,"Calluna vulgaris","Garraud","Pache","2020-07-23"
"244","Argentière",2,33,"ARG_1790","b",99929,"Gentiana purpurea","Garraud","Pache","2020-07-23"
"245","Argentière",2,33,"ARG_1790","b",136974,"Juniperus communis subsp. nana","Garraud","Pache","2020-07-23"
"246","Argentière",2,33,"ARG_1790","b",105074,"Laserpitium halleri","Garraud","Pache","2020-07-23"
"247","Argentière",2,33,"ARG_1790","b",106846,"Luzula nivea","Garraud","Pache","2020-07-23"
"248","Argentière",2,33,"ARG_1790","b",107158,"Maianthemum bifolium","Garraud","Pache","2020-07-23"
"249","Argentière",2,33,"ARG_1790","b",107800,"Melampyrum sylvaticum","Garraud","Pache","2020-07-23"
"250","Argentière",2,33,"ARG_1790","b",115470,"Potentilla erecta","Garraud","Pache","2020-07-23"
"251","Argentière",2,33,"ARG_1790","b",124205,"Solidago virgaurea","Garraud","Pache","2020-07-23"
"252","Argentière",2,33,"ARG_1790","b",128345,"Vaccinium myrtillus","Garraud","Pache","2020-07-23"
"253","Argentière",2,33,"ARG_1790","b",128355,"Vaccinium vitis-idaea","Garraud","Pache","2020-07-23"
